ChannelId|Blah|Date|Time|GatewayId|Service
IB|100|4/09/2015|11:53:19 a.m.|Gateway2|GetBalances
IB|100|4/09/2015|11:53:20 a.m.|Gateway2|GetAccounts
IB|100|4/09/2015|11:53:20 a.m.|Gateway1|GetCards
IB|100|4/09/2015|11:53:20 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:20 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:20 a.m.|Gateway2|GetAccounts
IB|100|4/09/2015|11:53:21 a.m.|Gateway1|GetLoans
IB|100|4/09/2015|11:53:21 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:21 a.m.|Gateway1|GetLoans
IB|100|4/09/2015|11:53:21 a.m.|Gateway2|Transfer
IB|100|4/09/2015|11:53:21 a.m.|Gateway1|GetAccounts
IB|100|4/09/2015|11:53:21 a.m.|Gateway1|GetAccounts
IB|100|4/09/2015|11:53:21 a.m.|Gateway1|GetCards
IB|100|4/09/2015|11:53:22 a.m.|Gateway1|GetAuths
IB|100|4/09/2015|11:53:22 a.m.|Gateway1|GetAccounts
IB|100|4/09/2015|11:53:22 a.m.|Gateway1|GetAccounts
IB|100|4/09/2015|11:53:22 a.m.|Gateway2|GetAccounts
IB|100|4/09/2015|11:53:22 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:22 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:22 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:23 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:23 a.m.|Gateway1|GetPayees
IB|100|4/09/2015|11:53:23 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:23 a.m.|Gateway1|GetLoans
IB|100|4/09/2015|11:53:23 a.m.|Gateway1|GetCustomerLinks
IB|100|4/09/2015|11:53:23 a.m.|Gateway1|GetCustomerLinks
IB|100|4/09/2015|11:53:23 a.m.|Gateway2|GetTransactions
IB|100|4/09/2015|11:53:24 a.m.|Gateway2|GetAccounts
IB|100|4/09/2015|11:53:24 a.m.|Gateway2|GetBalances
IB|100|4/09/2015|11:53:24 a.m.|Gateway2|GetAccounts
IB|100|4/09/2015|11:53:24 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:24 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:24 a.m.|Gateway2|GetTransactions
IB|100|4/09/2015|11:53:25 a.m.|Gateway2|GetCustomerLinks
IB|100|4/09/2015|11:53:25 a.m.|Gateway2|GetAccounts
IB|100|4/09/2015|11:53:25 a.m.|Gateway1|GetPayees
IB|100|4/09/2015|11:53:25 a.m.|Gateway2|GetCustomerLinks
